Name,SMILES,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Rifampin,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O,0.97,3.5,0.2,4.6,3.8,822.94,16,6,220.1,5,anionic,4.6,1.7
Rigosertib,COc1ccc(cc1NCC(=O)O)CS(=O)(=O)/C=C/c2c(cc(cc2OC)OC)OC,0.11,1.51,,1.2,0.95,451.49,9,2,120.4,11,anionic,3.2,0.36
Rilmenidine,C1CC1C(C2CC2)NC3=NCCO3,4.5,7.1,0.9,10.6,8.3,180.25,3,1,33.6,4,cationic,0.91,-2.2
Riluzole,s1c(nc2c1cc(cc2)OC(F)(F)F)N,3.5,11.3,0.04,5.2,,234.2,3,1,48.1,1,neutral,3.1,3.1
Rimiducid,CC[C@@H](c1cc(c(c(c1)OC)OC)OC)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(c(c3)OC)OC)c4cccc(c4)OCC(=O)NCCNC(=O)COc5cccc(c5)[C@@H](CCc6ccc(c(c6)OC)OC)OC(=O)[C@@H]7CCCCN7C(=O)[C@@H](CC)c8cc(c(c(c8)OC)OC)OC,0.82,6.61,,2.08,7.18,1411.63,24,2,262.2,39,neutral,9,9
Riociguat,CN(c1c(nc(nc1N)c2c3cccnc3n(n2)Cc4ccccc4F)N)C(=O)OC,0.44,0.74,,10.03,9.1,422.42,10,2,138.1,5,neutral,2.3,2.3
Risedronic acid (Risedronate),OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O,6.3,1.5,0.76,70,200,283.11,8,5,148.2,4,anionic,-2.2,-7
Risperidone,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,1.1,5.4,0.1,3.4,3.2,410.48,6,0,62.2,4,cationic,3.1,2.6
Ritanserin,CC1=C(CCN2CCC(CC2)=C(c2ccc(cc2)F)c2ccc(cc2)F)C(N2C=CSC2=N1)=O,1.41,0.51,0.008,46.1,40,477.57,4,0,35.9,5,cationic,5.7,4.9
Ritipenem ,C1(=O)N2[C@@H]([C@H]1[C@H](O)C)SC(COC(N)=O)=C2C(=O)[O-].[Na+],0.24,7.55,0.72,0.54,0.54,310.26,8,2,133,5,anionic,-2.1,-5.6
Ritodrine,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c2ccc(O)cc2,4.4,31,0.64,2.4,2.6,287.35,4,4,72.7,6,cationic,1.9,0.37
Rivaroxaban,C1OCCN(c2ccc(cc2)N2C(O[C@H](C2)CNC(c2sc(cc2)Cl)=O)=O)C1=O,0.7,2.4,0.06,4.9,7,435.88,8,1,88.2,5,neutral,2.6,2.6
Rivastigmine,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C,1.3,12,0.6,1.9,1.4,250.34,4,0,32.8,5,cationic,2.8,1.9
Rizatriptan,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,1.9,16,0.86,2,2.2,269.34,5,1,49.7,5,cationic,1.6,0.41
Ro 02-70608,O=C(C(C(Cl)=CC=C1)=C1C)N[C@H](C(O)=O)CC2=CC=C(NC(C(C(Cl)=CN=C3)=C3Cl)=O)C=C2,0.3,3.7,0.1,1.3,3.3,506.77,7,3,108.4,7,anionic,4.6,1.5
Ro25-6833,[H]N([H])c1nc(cs1)C(C(N([H])[C@@H]1C(N2C(=C(CS[C@H]12)C=C1CCN(CC(F)(F)F)C1=O)C(=O)O[H])=O)=O)=NO[H],0.11,0.38,0.043,4.8,3.8,546.5,12,4,178.5,9,anionic,0.36,-2.6
Rocuronium,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCOCC5)[N+]6(CC=C)CCCC6,0.21,3.7,0.54,0.95,1.6,529.77,6,1,59,6,cationic,0.19,-0.28
Rofecoxib,c1ccc(cc1)C=1C(=O)OCC1c1ccc(cc1)S(=O)(=O)C,1.3,2,0.13,10.8,7.5,314.36,4,0,60.4,3,neutral,-0.29,-0.29
Roflumilast,C(=O)(c1ccc(c(c1)OCC1CC1)OC(F)F)Nc1c(cncc1Cl)Cl,1.92,2.2,0.01,14.5,15.1,403.21,5,1,60.4,7,neutral,3.5,3.5
Rolapitant,C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)c4ccccc4,,0.38,0.002,,148.5,500.48,4,2,50.4,5,cationic,5.1,3.8
Rolipram,c1(c(ccc(c1)[C@@H]1CNC(C1)=O)OC)OC1CCCC1,0.67,6.3,0.11,1.77,7,275.34,4,1,47.6,4,neutral,2.1,2.1
Rolitetracycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)NCN4CCCC4)C(=O)c5c(O)cccc5[C@@]3(C)O,0.54,0.97,0.5,9.3,8.8,527.57,11,6,170.9,4,cationic,0.097,-4.1
Rolofylline,C12CC3C(C1)(CC(C3)C2)c1nc2n(c(=O)n(c(=O)c2[nH]1)CCC)CCC,4.3,5,,14.1,18.1,356.46,6,1,72.7,5,neutral,3.2,3.2
Romidepsin,C\C=C\1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,1.2,7.4,0.07,2.6,11,540.7,10,4,142.7,2,neutral,-0.14,-0.14
Ropinirole,N1C(Cc2c1cccc2CCN(CCC)CCC)=O,7.7,30,0.6,4.3,6,260.37,3,1,32.3,7,cationic,2.9,1.1
Ropivacaine,CCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C,0.75,5.5,0.06,2.3,2.2,274.4,3,1,32.3,4,cationic,3.5,2.9
Roquinimex,CN(C(=O)C1=C(O)c2ccccc2N(C)C1=O)c3ccccc3,0.21,0.082,,43,31,308.33,5,1,60.9,2,anionic,2.4,-0.95
Rosaramicin,C1=CC([C@@H](C[C@@H]([C@@H]([C@@H](C)[C@@H](CC(O[C@@H]([C@@H](C)[C@@H]2O[C@@]12C)CC)=O)O)O[C@@H]1O[C@@H](C[C@@H]([C@@H]1O)N(C)C)C)CC=O)C)=O,2.83,13.3,,3.54,3.34,581.74,10,2,135.1,6,cationic,2.5,1.2
Rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,0.2,0.65,0.002,5.1,3.9,357.43,6,1,71.5,7,anionic,3.2,0.25
Rosuvastatin,CC(C)c1nc(nc(c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(=O)(=O)C,1.7,11,0.12,2.6,2,481.54,9,3,140.9,10,anionic,2,-1.3
Rotigotine,c12c(CC[C@@H](C1)[N@@](CCc1cccs1)CCC)c(ccc2)O,5.7,37,0.08,2.6,4,315.47,2,1,23.5,6,cationic,5,3.4
RSD921,CN([C@@H]1CCCC[C@H]1N2CCCC2)C(=O)Cc3cccc4c3ccs4,1.1,3,,5.9,5.5,356.52,3,0,23.5,4,cationic,4.4,3.2
Rucaparib,CNCc1ccc(cc1)c2[nH]c3cc(F)cc4C(=O)NCCc2c34,3.28,4.31,,12.71,16.6,323.36,4,3,56.9,3,cationic,2,0.21
S 12363,C1[N@@]2CC=C[C@@]3([C@@H]([C@@]([C@@H]4N(C)c5cc(OC)c(cc5[C@@]4(C1)[C@@H]23)[C@@]1(c2c(CC[N@@]3C[C@@](C[C@@H](C1)C3)(O)CC)c1ccccc1[nH]2)C(OC)=O)(O)C(=O)N[C@@H](C(C)C)P(OCC)(=O)OCC)O)CC.S(=O)(=O)(O)O,4.67,3.5,0.1,22.24,34.3,1044.2,19,7,261,14,cationic,4.3,3.9
S-0139,C(OC(/C=C/C(=C1NC(/C=C/C(O)=O)=O)C=C(C=C1)O)=O)[C@@](C([C@@]([C@]1(C(O)=O)CC2)(CC2(C)C)[H])=CC2)([C@@](C)([C@]2([C@](C)([C@@]2(C(C)(C)C(C3)=O)[H])C3)[H])CC2)CC1,1.45,7.6,,3.18,,729.9,10,4,167.3,9,anionic,6.8,1.7
Sabeluzole,[H]O[C@H](CN1CCC(CC1)N(C)c1nc2ccccc2s1)COc1ccc(cc1)F,5.5,4.05,0.014,22.6,18.9,415.52,5,1,48.8,8,cationic,4.7,4.2
Safinamide,C[C@@H](C(=O)N)NCc1ccc(cc1)OCc2cccc(c2)F,2.19,1.17,,31.16,21.67,302.34,4,2,64.3,7,cationic,1.7,1.1
Salvianolic acid B,c1cc(c(cc1C[C@H](C(=O)O)OC(=O)/C=C/c2ccc(c3c2[C@@H]([C@H](O3)c4ccc(c(c4)O)O)C(=O)OC(Cc5ccc(c(c5)O)O)C(=O)O)O)O)O,0.14,7.17,0.08,0.42,0.29,718.61,16,9,278,14,anionic,3.7,-3.1
Sameridine,c1(C2(C(=O)N(C)CC)CCN(CC2)CCCCCC)ccccc1,,24,,,3.6,330.51,3,0,23.5,8,cationic,4.1,2.5
Saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4,3.6,13,0.028,4.6,13,670.84,11,5,166.7,12,neutral,3.6,3.3
SAR 125844,O=C(NC1=NC2=CC=C(C=C2S1)SC3=NN=C4C=CC(C5=CC=C(C=C5)F)=NN43)NCCN6CCOCC6,4.1,8.34,,8.19,19.44,550.63,10,2,109.6,7,neutral,3.6,3.4
SarCNU,CN(CC(=O)N)C(=O)N(CCCl)N=O,0.76,9,,1.4,1,222.63,7,1,96.1,5,neutral,-0.4,-0.4
Sardomozide,c12c(C(=N)N)cccc1\C(=N\NC(=N)N)CC2,20,3.2,,104.1,65.4,230.27,6,5,124.1,3,cationic,-0.14,-5
Satavaptan,C1C[C@H](CC[C@@]21c1cc(OCC)ccc1N(S(=O)(c1c(cc(C(NC(C)(C)C)=O)cc1)OC)=O)C2=O)OCCN1CCOCC1,7,12.3,0.1,9.4,10.4,643.79,11,1,123.7,10,neutral,3.5,3.2
Saxagliptin,N1([C@H](CC2[C@H]1C2)C#N)C(=O)[C@@H](C12CC3CC(C1)(O)CC(C3)C2)N,1.8,7.1,1,4.1,7.5,315.41,5,2,90.4,3,neutral,0.086,0.077
Sch34343,C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(=O)O)SCCOC(=O)N,0.3,7.5,0.35,0.67,0.8,334.37,8,3,130.2,7,anionic,-1.6,-4.6
Scopolamine,CN1[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4,3.1,16,,3.2,4.5,303.35,5,1,62.3,5,cationic,1.1,0.66
Scutellarin,c1cc(ccc1c2cc(=O)c3c(o2)cc(c(c3O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O,0.88,46.58,0.1,0.31,1.18,462.36,12,7,207.6,4,anionic,0.29,-4.5
Secretin (human),C[C@H]([C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2cnc[nH]2)N)O,0.16,6.73,,0.4,2.41,3039.41,84,51,1401.2,109,cationic,-9,-9
Secretin (porcine),C([C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(NCC(N[C@@H](C(N[C@@H](C(C)C)C(O)=O)=O)CC(C)C)=O)=O)CCC(N)=O)=O)CC(C)C)=O)CC(C)C)=O)CCCNC(N)=N)=O)CCC(N)=O)=O)CC(C)C)=O)CCCNC(N)=N)=O)C)=O)CO)=O)CC(O)=O)=O)CCCNC(N)=N)=O)CC(C)C)=O)CCCNC(N)=N)=O)CO)=O)CC(C)C)=O)CCC(O)=O)=O)CO)=O)[C@@H](C)O)=O)NC([C@@H](NC(CNC([C@@H](NC([C@@H](NC([C@@H](Cc1[nH]ccn1)N)=O)CO)=O)CC(O)=O)=O)=O)[C@@H](C)O)=O)c1ccccc1,0.03,5.95,,0.08,0.13,3056.39,85,52,1415.7,109,zwitterionic,-9,-9
Selegiline,CC(Cc1ccccc1)N(C)CC#C,1.9,20,0.13,1.6,1.3,187.28,1,0,3.2,5,cationic,2.8,2.3
Sematilide,CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)C)cc1,0.82,3.7,0.96,3.7,3.8,313.42,6,2,78.5,8,zwitterionic,1.1,-1.6
Semaxanib,N1C(\C(c2ccccc12)=C/c1[nH]c(cc1C)C)=O,0.98,14,0.008,1.17,0.83,238.28,3,2,44.9,1,neutral,2.2,2.2
Seraspenide,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)O,,18.7,,,0.08,487.5,14,7,228.5,14,anionic,-3.3,-8.6
Sermorelin,"C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](Cc1ccc(O)cc1)N)=O)C)=O)CC(O)=O)=O)C)=O)[C@@H](CC)C)=O)C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](Cc1ccc(O)cc1)C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(NCC(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CCCNC(N)=N)C(N)=O)=O)CO)=O)CCSC)=O)[C@@H](CC)C)=O)CC(O)=O)=O)CCC(N)=O)=O)CC(C)C)=O)CC(C)C)=O)CCCCN)=O)CCCNC(N)=N)=O)C)=O)CO)=O)CC(C)C)=O)CCC(N)=O)=O)=O)CC(C)C)=O)C(C)C)=O)CCCCN)=O)CCCNC(N)=N)=O)=O)CO)=O)CC(N)=O)=O)[C@@H](C)O)=O)c1ccccc1
",0.34,39.3,,0.14,0.19,3357.88,86,52,1446.9,118,cationic,-9,-9
Silatecan,[Si](C(C)(C)C)(C)(C)C(=C1C(C(N(C1)C(=O)C1=C2[C@](CC)(O)C(OC1)=O)=C2)=N1)C(C1=CC1)=CC=1O,0.47,6,,1.3,1.4,478.61,7,2,100,2,neutral,4.9,4.8
Sildenafil,c1(c2nc3c(c(=O)[nH]2)n(nc3CCC)C)c(ccc(c1)S(=O)(=O)N1CCN(CC1)C)OCC,1.36,9,0.04,2.5,2.2,474.58,10,1,113.4,7,cationic,1.6,1.1
Silodosin,C(O)CCN1c2c(cc(C[C@H](NCCOc3c(cccc3)OCC(F)(F)F)C)cc2CC1)C(=O)N,,2.8,0.05,,3.6,495.53,7,3,97.1,13,cationic,3,2.3
Sinitrodil,C(CON(=O)=O)N1COc2ccccc2C1=O,0.68,29.59,,0.38,0.38,238.2,7,0,84.6,4,neutral,1.8,1.8
Sipatrigine,c1(c2c(nc(N3CCN(C)CC3)nc2)N)c(c(cc(c1)Cl)Cl)Cl,15.31,20.9,,12.26,10.98,372.68,5,1,58.3,2,cationic,4.4,3.6
Sisomicin,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2O)OC[C@]1(C)O,0.19,1,0.15,3.2,2.4,447.53,12,8,213.7,6,cationic,-4.5,-8.4
Sitafloxacin,N[C@@H]1CN(CC12CC2)c3c(F)cc4C(=O)C(=CN([C@@H]5C[C@@H]5F)c4c3Cl)C(=O)O,1.5,3.7,0.51,6.7,6.6,409.81,6,2,86.9,3,zwitterionic,2.5,0.26
Sitagliptin,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F,2.8,6,0.62,7.8,12,407.31,6,1,77,4,cationic,0.46,-0.4
"Sitosterol, ?-",CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,0.3,0.02,,250,372.4,414.71,1,1,20.2,6,neutral,9,9
SK-896,O=C(N(CCC1)[C@@H]1C(N[C@]([C@@H](C)CC)([H])C(N[C@H](C(N[C@]([C@H](O)C)([H])C(N[C@H](C(NCC(N[C@@H](CCC(O)=O)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCCNC(N)=N)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N)=O)C(N[C@@H](CCC(O)=O)C(N[C@@H](CCCCN)C(N[C@@H](CCC(O)=O)C(N[C@@H](CCCNC(N)=N)C(N[C@@H](CC(N)=O)C(N[C@@H](CCCCN)C(NCC(N[C@@H](CCC(N)=O)C(N[C@H](C(O)=O)CCO)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)CC2=CC=C(O)C=C2)=O)=O)CC3=CC=CC=C3)=O)=O)[C@H](C(C)C)NC([C@@H](N)CC4=CC=CC=C4)=O,0.07,8.08,0.03,0.14,0.08,2782.11,72,41,1215.5,98,cationic,-9,-9
SNS-032,N1CCC(CC1)C(=O)Nc1sc(cn1)SCc1oc(cn1)C(C)(C)C,5.14,13,,7.13,9.3,380.53,6,2,80.3,5,cationic,2,0.64
Soblidotin,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)NCCc2ccccc2)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.42,1.6,,4.6,5.67,701.98,11,2,120.5,20,neutral,3.9,3.8
Sobrerol,CC1=CC[C@H](C[C@@H]1O)C(C)(C)O,0.43,2.7,,3.1,1.9,170.25,2,2,40.5,0,neutral,1.3,1.3
Solifenacin,O=C(O[C@H]1CN2CCC1CC2)N3CCc4ccccc4[C@@H]3c5ccccc5,8.2,2.1,0.02,65,52,362.46,4,0,32.8,3,cationic,4.4,3.3
Sotalol,CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1,1.3,2,0.62,11,6.3,272.36,5,3,78.4,6,cationic,0.43,-1.4
Sparfloxacin,C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O,3.9,2.7,0.55,24,20,392.4,7,3,98.9,3,zwitterionic,2.7,-0.36
Sparfosic acid,[H]N(C(CP(=O)(O[H])O[H])=O)[C@@H](CC(=O)O[H])C(=O)O[H],0.33,1.22,,4.51,4.78,255.12,9,5,161.2,10,anionic,-2.8,-9
Spectinomycin,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,0.13,0.99,,2.2,1.8,332.35,9,5,129.5,2,cationic,-2.9,-5.3
Spiramycin,O1[C@H](CC[C@@H](N(C)C)[C@@H]1C)O[C@@H]1[C@@H](C[C@@H]([C@@H]([C@@H](OC)[C@@H](CC(O[C@H](C)CC=CC=C1)=O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N(C)C)O[C@@H]1O[C@H]([C@@H]([C@@](C1)(O)C)O)C)C)CC=O)C,5.4,12.8,0.26,7,5.2,843.05,16,4,195.4,11,cationic,2,0.92
Spirapril,c1ccccc1CC[C@H](N[C@@H](C(N1[C@@H](CC2(C1)SCCS2)C(=O)O)=O)C)C(=O)OCC,0.43,11.9,,0.61,8.6,466.61,7,2,95.9,10,anionic,2.7,-0.81
Spisulosine,N[C@@H](C)[C@H](O)CCCCCCCCCCCCCCC,30.7,57.6,,8.89,29.7,285.51,2,2,46.3,15,cationic,6.6,4.3
Squalamine,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCN)OS(=O)(=O)O,0.23,1.2,,3.2,9.5,627.96,8,5,133.9,16,cationic,3.8,0.76
SR 271425,N(CCN(CC)CC)C(C(=C(C1CNC=O)S2)C(=O)C(C2=CC=C2OC)=C2)=CC=1,1.01,3.1,,5.4,6.19,413.53,6,2,70.7,9,cationic,3.7,2.4
SR 4554,"c1cn(c(n1)[N+](=O)[O-])CC(=O)NCC(C(F)(F)F)O
",0.69,3,,3.86,3.45,282.18,8,2,110.3,5,neutral,-0.68,-0.68
Stavudine,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,0.67,8.2,1,1.4,1.4,224.21,6,2,78.9,2,neutral,-0.71,-0.71
Streptomycin,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O,0.34,0.78,0.65,7.3,4.3,581.57,19,14,331.4,11,cationic,-7.8,-9
Stresscopin,"N[C@@H]([C@H](O)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](C(C(C)C))C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C(C)C))C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C(C(C)C))C(=O)N[C@@H](C(C(C)C))C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C(C(C)C))C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C(C(C)C))C(=O)N[C@@H](CCSC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N
",2.5,14.2,,2.9,4,4367.15,109,59,1783.7,148,cationic,-9,-9
Sufentanil,CCC(=O)N(c1ccccc1)C2(COC)CCN(CCc3cccs3)CC2,9.4,15,0.075,10,14,386.55,4,0,32.8,8,cationic,3.9,2.9
Sugammadex,C(SCCC(=O)O)[C@@H]1[C@H]2O[C@H]3O[C@H](CSCCC(=O)O)[C@H]([C@@H]([C@H]3O)O)O[C@H]3O[C@H](CSCCC(=O)O)[C@H]([C@@H]([C@H]3O)O)O[C@H]3O[C@H](CSCCC(=O)O)[C@H]([C@@H]([C@H]3O)O)O[C@H]3O[C@@H]([C@@H](O[C@H]4O[C@@H]([C@@H](O[C@H]5O[C@@H]([C@@H](O[C@H]6OC([C@@H](O[C@@H](O1)[C@@H]([C@H]2O)O)[C@H](O)[C@H]6O)CSCCC(=O)O)[C@H](O)[C@H]5O)CSCCC(=O)O)[C@H](O)[C@H]4O)CSCCC(=O)O)[C@@H]([C@H]3O)O)CSCCC(=O)O,0.18,1.28,,2.41,2.53,2002.15,48,24,769.8,40,anionic,-9,-9
Sulbactam,CC1(C)C(N2C(CC2=O)S1(=O)=O)C(=O)O,0.32,5.1,0.62,1,1.1,233.24,6,1,91.8,1,anionic,-0.25,-3.7
Sulbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,0.15,1.6,0.5,1.6,1.2,414.45,9,3,141.1,5,anionic,0.59,-4.7
Sulfadiazine,Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,0.29,0.55,0.44,8.8,7,250.28,6,2,98,3,anionic,0.11,-0.75
Sulfamethoxazole,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1,0.3,0.36,0.23,14,9.8,253.28,6,2,98.5,3,anionic,1.1,-0.56
Sulfasalazine,c1(S(Nc2ccccn2)(=O)=O)ccc(\N=N\c2cc(c(O)cc2)C(O)=O)cc1,0.11,0.26,0.004,6.8,7.6,398.39,9,3,141.3,6,anionic,3.6,0.17
Sulfinpyrazone,O=C1C(CCS(=O)c2ccccc2)C(=O)N(N1c3ccccc3)c4ccccc4,0.12,0.34,0.017,5.9,6.2,404.48,5,0,57.7,6,anionic,2.2,-1.2
Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.17,0.3,0.079,9.4,7.4,267.3,6,2,98.5,3,anionic,0.79,-1.6
Sulmazole,[H]n1c2cccnc2nc1c1ccc(cc1OC)S(C)=O,0.62,10,0.41,1,0.8,287.34,5,1,67.9,3,neutral,1.3,1.3
Sulpiride,c1(c(ccc(c1)S(=O)(=O)N)OC)C(NC[C@@H]1[N@@](CCC1)CC)=O,0.94,1.9,1,8.01,6.5,341.43,7,2,101.7,6,cationic,0.7,-0.75
Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,1.7,19,0.83,1.5,1.7,295.4,5,2,65.2,6,cationic,1.5,0.3
Suprofen,CC(C(=O)O)c1ccc(cc1)C(=O)c2cccs2,0.04,0.76,0.006,0.88,2.1,260.31,3,1,54.4,4,anionic,2.7,-0.31
Suramin,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,0.54,0.0057,0.003,1400,1200,1297.28,29,12,483.8,16,neutral,-4.2,-9
