CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
Fc1cnc(=O)[nH]c1N,Flucytosine,2.0,,2.4,,0.68,,0.64,,1.0,,,,Nc1[n-]c(=O)ncc1F,"InChI=1S/C4H4FN3O/c5-2-1-7-4(9)8-3(2)6/h1H,(H3,6,7,8,9)/p-1",128.02656351591
c1cc(F)cc(c12)C(=O)N(C)Cc3n2cnc3C(=O)OCC,Flumazenil,16.0,147.0,16.0,,0.8,1.3,1.0,,0.58,,0.6848,,CCOC(=O)c1ncn2c1C[NH+](C)C(=O)c1cc(F)ccc1-2,"InChI=1S/C15H14FN3O3/c1-3-22-15(21)13-12-7-18(2)14(20)10-6-9(16)4-5-11(10)19(12)8-17-13/h4-6,8H,3,7H2,1-2H3/p+1",304.10919598009
Fc1ccccc1C(=NCC(=O)N2C)c(c23)cc([N+]([O-])=O)cc3,Flunitrazepam,1.4,80.0,78.0,,1.9,3.8,3.4,,0.17,0.15,0.1723,,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,"InChI=1S/C16H12FN3O3/c1-19-14-7-6-10(20(22)23)8-12(14)16(18-9-15(19)21)11-4-2-3-5-13(11)17/h2-8H,9H2,1H3",313.086269464
c1cccc(S2)c1N(c(c23)cc(C(F)(F)F)cc3)CCCN4CCN(CC4)CCO,Fluphezine,9.7,,15.4,,2.9,,5.5,,0.04,,,,OCC[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,"InChI=1S/C22H26F3N3OS/c23-22(24,25)17-6-7-21-19(16-17)28(18-4-1-2-5-20(18)30-21)9-3-8-26-10-12-27(13-11-26)14-15-29/h1-2,4-7,16,29H,3,8-15H2/p+2",439.18942101617995
OP(=O)(O)C(=O)O,Foscarnet,2.1,,3.62,,0.5,,0.65,,0.85,,,,O=C([O-])P(=O)(O)O,"InChI=1S/CH3O5P/c2-1(3)7(4,5)6/h(H,2,3)(H2,4,5,6)/p-1",124.96453337391
OP(=O)(O)[C@H]1O[C@H]1C,Fosfomycin,2.0,,6.9,,0.32,,0.77,,1.0,,1.0,,C[C@@H]1O[C@@H]1P(=O)([O-])[O-],"InChI=1S/C3H7O4P/c1-2-3(7-2)8(4,5)6/h2-3H,1H3,(H2,4,5,6)/p-2/t2-,3+/m0/s1",135.99364242982
O=S(=O)(N)c1cc(C(=O)O)c(cc1Cl)NCc2occc2,Furosemide,1.6,7.0,19.6,3.4,0.12,0.12,0.69,0.1,0.012,0.1,0.12,0.0289,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)/p-1",329.00044367991
OC(=O)CC1(CN)CCCCC1,Gabapentin,1.7,9.1,2.3,2.3,0.71,1.1,0.16,0.65,0.97,0.02,,0.02,[NH3+]CC1(CC(=O)[O-])CCCCC1,"InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)",171.125928784
C1=C[C@H](O)C[C@@H]([C@@]123)Oc4c2c(CN(C)CC3)ccc4OC,Galanthamine,5.6,31.7,12.3,,2.3,5.2,2.78,,0.83,0.75,0.9805,,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CC[NH+](C)C2,"InChI=1S/C17H21NO3/c1-18-8-7-17-6-5-12(19)9-14(17)21-16-13(20-2)4-3-11(10-18)15(16)17/h3-6,12,14,19H,7-10H2,1-2H3/p+1/t12-,14-,17-/m0/s1",288.15941998409
C1N[C@H](C)c(c12)ccc(c2)-c(cc3)c(OC(F)F)c(c34)n(C5CC5)cc(c4=O)C(=O)O,Garenoxacin,1.23,12.1,2.43,3.39,1.0,0.9,1.29,0.96,0.25,0.13,0.23,0.19,C[C@H]1[NH2+]Cc2cc(-c3ccc4c(=O)c(C(=O)[O-])cn(C5CC5)c4c3OC(F)F)ccc21,"InChI=1S/C23H20F2N2O4/c1-11-15-5-2-12(8-13(15)9-26-11)16-6-7-17-19(21(16)31-23(24)25)27(14-3-4-14)10-18(20(17)28)22(29)30/h2,5-8,10-11,14,23,26H,3-4,9H2,1H3,(H,29,30)/t11-/m1/s1",426.13911356
CC1[NH2+]CCN(C1)c(c(F)c2)c(OC)c(c23)n(cc(c3=O)C([O-])=O)C4CC4,Gatifloxacin,2.8,19.3,4.2,10.2,1.7,2.5,2.11,1.85,0.8,0.75,0.84,0.83,COc1c(N2CC[NH2+]C(C)C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,"InChI=1S/C19H22FN3O4/c1-10-8-22(6-5-21-10)16-14(20)7-12-15(18(16)27-2)23(11-3-4-11)9-13(17(12)24)19(25)26/h7,9-11,21H,3-6,8H2,1-2H3,(H,25,26)",375.15943440399997
Clc(c1)cc(Cl)c(c12)c(c([nH]2)C([O-])=O)/C=C/C(=O)Nc3ccccc3,Gavestinel,0.09,1.2,2.1,4.4,0.12,0.3,0.2,0.32,0.002,0.03,0.1,0.03,O=C(/C=C/c1c(C(=O)[O-])[n-]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,"InChI=1S/C18H12Cl2N2O3/c19-10-8-13(20)16-12(17(18(24)25)22-14(16)9-10)6-7-15(23)21-11-4-2-1-3-5-11/h1-9H,(H3,21,22,23,24,25)/p-2",372.00794469982003
FC1(F)[C@H](O)[C@@H](CO)O[C@H]1n2ccc(N)nc2=O,Gemcitabine,32.0,5.0,10.76,177.0,1.5,1.0,1.41,5.5,1.0,0.93,0.7655,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)/t4-,6-,7-/m1/s1",263.071762272
OC1(C)C(NC)C(O)C(OC1)OC2C(O)C(C(N)CC2N)OC3OC(C(C)NC)CCC3N,Gentamicin,1.0,7.8,2.1,,0.33,0.33,0.33,,1.0,,,,C[NH2+]C(C)C1CCC([NH3+])C(OC2C([NH3+])CC([NH3+])C(OC3OCC(C)(O)C([NH2+]C)C3O)C2O)O1,"InChI=1S/C21H43N5O7/c1-9(25-3)13-6-5-10(22)19(31-13)32-16-11(23)7-12(24)17(14(16)27)33-20-15(28)18(26-4)21(2,29)8-30-20/h9-20,25-29H,5-8,22-24H2,1-4H3/p+5",482.35263097644986
O[C@H]1C(=O)O[C@H]2O[C@]([C@]34[C@@]125)([C@]6(O)[C@H](C3)OC(=O)[C@H]6C)C(=O)O[C@@H]4C[C@H]5C(C)(C)C,Ginkgolide A,2.3,65.0,,,0.62,4.3,,,,,,,CC1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]36C(O)C(=O)O[C@H]6O[C@@]4(C(=O)O5)[C@@]12O,"InChI=1S/C20H24O9/c1-7-12(22)26-10-6-17-9-5-8(16(2,3)4)18(17)11(21)13(23)28-15(18)29-20(17,14(24)27-9)19(7,10)25/h7-11,15,21,25H,5-6H2,1-4H3/t7?,8-,9+,10-,11?,15-,17+,18-,19+,20+/m0/s1",408.1420323479999
O[C@H]1C(=O)O[C@H]2O[C@]([C@]34[C@@]125)([C@]6(O)[C@H]([C@@H]3O)OC(=O)[C@H]6C)C(=O)O[C@@H]4C[C@H]5C(C)(C)C,Ginkgolide B,2.3,60.0,,,0.91,3.5,,,,,,,CC1C(=O)O[C@H]2[C@H](O)[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]36C(O)C(=O)O[C@H]6O[C@@]4(C(=O)O5)[C@@]12O,"InChI=1S/C20H24O10/c1-6-12(23)28-11-9(21)18-8-5-7(16(2,3)4)17(18)10(22)13(24)29-15(17)30-20(18,14(25)27-8)19(6,11)26/h6-11,15,21-22,26H,5H2,1-4H3/t6?,7-,8+,9-,10?,11-,15-,17-,18-,19+,20+/m0/s1",424.13694696799985
C1CCCCC1NC(=O)NS(=O)(=O)c2ccc(cc2)CCNC(=O)c3ncc(C)nc3,Glipizide,0.56,1.0,,,0.16,0.3,,,0.02,,,,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)[NH2+]C3CCCCC3)cc2)cn1,"InChI=1S/C21H27N5O4S/c1-15-13-24-19(14-23-15)20(27)22-12-11-16-7-9-18(10-8-16)31(29,30)26-21(28)25-17-5-3-2-4-6-17/h7-10,13-14,17H,2-6,11-12H2,1H3,(H3,22,25,26,27,28)",445.178375344
[C@H]12CCCC(N1C)CC(C2)NC(=O)c(nn3C)c(c34)cccc4,Granisetron,9.1,824.0,,,3.7,16.7,,,0.35,,,,Cn1nc(C(=O)NC2CC3CCC[C@H](C2)[NH+]3C)c2ccccc21,"InChI=1S/C18H24N4O/c1-21-13-6-5-7-14(21)11-12(10-13)19-18(23)17-15-8-3-4-9-16(15)22(2)20-17/h3-4,8-9,12-14H,5-7,10-11H2,1-2H3,(H,19,23)/p+1/t12?,13-,14?/m1/s1",313.20228784009
Clc1ccc(cc1)C2(O)CCN(CC2)CCCC(=O)c3ccc(F)cc3,Haloperidol,7.8,86.2,32.9,7.8,17.0,10.4,37.0,3.7,0.08,0.24,,,O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,"InChI=1S/C21H23ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2/p+1",376.14741132809
O=C1N(C)C(=O)NC(=O)C1(C)C2=CCCCC2,Hexobarbital,3.4,40.6,,,1.1,2.5,,,0.53,,,,CN1C(=O)[N-]C(=O)C(C)(C2=CCCCC2)C1=O,"InChI=1S/C12H16N2O3/c1-12(8-6-4-3-5-7-8)9(15)13-11(17)14(2)10(12)16/h6H,3-5,7H2,1-2H3,(H,13,15,17)/p-1",235.10881591991
c1nnc(NN)c(c12)cccc2,Hydralazine,85.0,139.0,,,1.5,2.76,,,0.12,,0.29,,NNc1nncc2ccccc12,"InChI=1S/C8H8N4/c9-11-8-7-4-2-1-3-6(7)5-10-12-8/h1-5H,9H2,(H,11,12)",160.074896256
[C@@]123[C@@H]4C(=O)CC[C@H]2[C@H](N(C)CC3)Cc5c1c(O4)c(O)cc5,Hydromorphone,28.0,,71.0,,4.3,,5.8,,0.86,,,,C[NH+]1CC[C@]23c4c5ccc([O-])c4OC2C(=O)CC[C@H]3[C@H]1C5,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3/t10-,11+,16?,17-/m0/s1",285.136493468
Clc(c1)ccc(c12)c(ccn2)NC(C)CCCN(CC)CCO,Hydroxychloroquine,11.0,28.2,,,700.0,14.6,,,0.57,0.62,,,CC[NH+](CCO)CCCC(C)[NH2+]c1ccnc2cc(Cl)ccc12,"InChI=1S/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)/p+2",337.19099303618
OC(=O)C(C)c1ccc(cc1)CC(C)C,Ibuprofen,0.82,4.8,0.49,,0.15,0.55,0.16,,0.006,0.055,0.04,,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/p-1",205.12340336391
O[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)C)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)cccc5,Idarubicin,24.0,78.5,,,38.0,36.5,34.5,,0.076,,,,CC(=O)[C@]1(O)Cc2c([O-])c3c(c([O-])c2[C@@H](O[C@H]2C[C@H]([NH3+])[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,"InChI=1S/C26H27NO9/c1-10-21(29)15(27)7-17(35-10)36-16-9-26(34,11(2)28)8-14-18(16)25(33)20-19(24(14)32)22(30)12-5-3-4-6-13(12)23(20)31/h3-6,10,15-17,21,29,32-34H,7-9,27H2,1-2H3/p-1/t10-,15-,16-,17-,21+,26-/m0/s1",496.1613049919099
N1CCN=C1C(CO2)Oc(c23)cccc3,Idazoxan,10.0,71.2,,,3.3,3.1,,,,,,,c1ccc2c(c1)OCC(C1=[NH+]CCN1)O2,"InChI=1S/C11H12N2O2/c1-2-4-9-8(3-1)14-7-10(15-9)11-12-5-6-13-11/h1-4,10H,5-7H2,(H,12,13)/p+1",205.09715407609
OC(=O)CCc1ccccc1C[C@@H]([C@@H](O2)CC3)[C@@H]([C@H]23)c4occ(n4)C(=O)NCCCCC,Ifetroban,6.4,87.5,65.0,19.1,4.4,2.8,11.0,5.5,,,,,CCCCCNC(=O)c1coc([C@H]2[C@@H](Cc3ccccc3CCC(=O)[O-])[C@@H]3CC[C@H]2O3)n1,"InChI=1S/C25H32N2O5/c1-2-3-6-13-26-24(30)19-15-31-25(27-19)23-18(20-10-11-21(23)32-20)14-17-8-5-4-7-16(17)9-12-22(28)29/h4-5,7-8,15,18,20-21,23H,2-3,6,9-14H2,1H3,(H,26,30)(H,28,29)/p-1/t18-,20-,21+,23-/m0/s1",439.22384567191
CC#CCC(C)[C@H](O)/C=C/[C@@H]([C@H](O)C1)[C@H]([C@H]12)CC(\C2)=C\CCCC(=O)O,Iloprost,16.0,32.4,67.2,,0.37,0.79,0.93,,0.4,,,,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)[O-])C[C@H]2C[C@H]1O,"InChI=1S/C22H32O4/c1-3-4-7-15(2)20(23)11-10-18-19-13-16(8-5-6-9-22(25)26)12-17(19)14-21(18)24/h8,10-11,15,17-21,23-24H,5-7,9,12-14H2,1-2H3,(H,25,26)/p-1/b11-10+,16-8+/t15?,17-,18+,19-,20+,21+/m0/s1",359.22278305190997
CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cc(c(C)cc3)Nc4nc(ccn4)-c5cccnc5,Imatinib,3.3,19.9,39.0,12.0,3.9,3.1,7.95,5.9,0.05,0.055,0.19,0.112,Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,"InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)/p+2",495.2735615161801
N/C=N/CCSC(C1)=C(C(=O)O)N([C@H]12)C(=O)[C@@H]2[C@H](O)C,Imipenem,3.0,14.5,4.3,5.7,0.24,0.24,32.0,0.28,0.86,1.0,1.0,0.975,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(SCC/[NH+]=C/N)C[C@H]12,"InChI=1S/C12H17N3O4S/c1-6(16)9-7-4-8(20-3-2-14-5-13)10(12(18)19)15(7)11(9)17/h5-7,9,16H,2-4H2,1H3,(H2,13,14)(H,18,19)/p+1/t6-,7-,9?/m1/s1",300.10125347609
CN(C)CCCN1c(cccc2)c2CCc(c13)cccc3,Imipramine,13.0,92.52,,,12.0,19.9,,,0.075,0.106,0.053,0.03,C[NH+](C)CCCN1c2ccccc2CCc2ccccc21,"InChI=1S/C19H24N2/c1-20(2)14-7-15-21-18-10-5-3-8-16(18)12-13-17-9-4-6-11-19(17)21/h3-6,8-11H,7,12-15H2,1-2H3/p+1",281.20122522009
c1ccncc1CN2CCN([C@@H](C2)C(=O)NC(C)(C)C)C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@H]([C@H](O)C4)c(c45)cccc5,Indivir,18.0,89.0,15.0,35.7,0.82,2.2,0.73,1.45,0.36,0.065,0.1183,0.3,CC(C)(C)NC(=O)C1C[NH+](Cc2cccnc2)CC[NH+]1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,"InChI=1S/C36H47N5O4/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45)/p+2/t28?,29-,31?,32+,33-/m0/s1",615.37735788818
C1CCCCC1C[C@@H](NCC(=O)O)C(=O)N2[C@@H](CCCC2)C(=O)NCCCN=C(N)N,Inogatran,6.1,83.0,9.0,26.0,0.26,0.77,0.31,0.53,,0.76,0.76,0.76,NC(N)=[NH+]CCCNC(=O)C1CCCC[NH+]1C(=O)C(CC1CCCCC1)[NH2+]CC(=O)[O-],"InChI=1S/C21H38N6O4/c22-21(23)25-11-6-10-24-19(30)17-9-4-5-12-27(17)20(31)16(26-14-18(28)29)13-15-7-2-1-3-8-15/h15-17,26H,1-14H2,(H,24,30)(H,28,29)(H4,22,23,25)/p+2",440.31000660018
I[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)CO)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)c(OC)ccc5,Iododoxorubicin,140.0,36.6,6.5,43.3,53.6,14.0,2.6,14.0,,,,,COc1cccc2c1C(=O)c1c([O-])c3c(c([O-])c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@H](I)[C@H](C)O1,"InChI=1S/C27H28INO10/c1-10-22(28)13(29)6-17(38-10)39-15-8-27(36,16(31)9-30)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,30,33,35-36H,6-9,29H2,1-2H3/p-1/t10-,13-,15-,17-,22+,27-/m0/s1",652.0685176439099
CC(C)[N+](C12)(C)C(CC1)CC(C2)OC(=O)C(CO)c3ccccc3,Ipratropium,31.4,90.0,41.6,,5.1,7.5,9.8,,0.9544,0.73,0.8008,,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,"InChI=1S/C20H30NO3/c1-14(2)21(3)16-9-10-17(21)12-18(11-16)24-20(23)19(13-22)15-7-5-4-6-8-15/h4-8,14,16-19,22H,9-13H2,1-3H3/q+1",332.22202024009
C1CCCCN1C2CCN(CC2)C(=O)Oc(cc3)cc(c34)c(CC)c5c(n4)c6n(C5)c(=O)c7c(c6)[C@@](O)(CC)C(=O)OC7,Irinotecan,7.0,55.7,3.9,13.3,3.5,4.3,1.01,2.5,0.51,,0.1754,0.1974,CCc1c2c(nc3ccc(OC(=O)[NH+]4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,"InChI=1S/C33H38N4O6/c1-3-22-23-16-21(43-32(40)36-14-10-20(11-15-36)35-12-6-5-7-13-35)8-9-27(23)34-29-24(22)18-37-28(29)17-26-25(30(37)38)19-42-31(39)33(26,41)4-2/h8-9,16-17,20,41H,3-7,10-15,18-19H2,1-2H3/p+2/t33-/m0/s1",588.2936878401799
[O-][N+](=O)O[C@@H]1CO[C@@H]([C@@H]12)[C@H](CO2)O[N+]([O-])=O,Isosorbide Dinitrate,31.0,122.0,180.0,58.8,1.9,2.6,3.0,1.7,0.72,,,,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],"InChI=1S/C6H8N2O8/c9-7(10)15-3-1-13-6-4(16-8(11)12)2-14-5(3)6/h3-6H,1-2H2/t3-,4+,5-,6-/m1/s1",236.02806521600002
O[C@H]1CO[C@@H]([C@@H]12)[C@@H](CO2)O[N+]([O-])=O,Isosorbide-5-Mononitrate,2.0,2.5,6.9,,0.7,,0.82,,1.0,,,,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,"InChI=1S/C6H9NO6/c8-3-1-11-6-4(13-7(9)10)2-12-5(3)6/h3-6,8H,1-2H2/t3-,4+,5+,6+/m0/s1",191.042987008
c1ncnn1C[C@@]2(c(c(Cl)c3)ccc3Cl)O[C@H](CO2)COc4ccc(cc4)N5CCN(CC5)c6ccc(cc6)-n7c(=O)n(nc7)C(C)C([2H])([2H])C([2H])([2H])[2H],Itracozole,5.1,9.16,,,7.4,5.07,,,0.002,0.9,,,[2H]C([2H])([2H])C([2H])([2H])C(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,"InChI=1S/C35H38Cl2N8O4/c1-3-25(2)45-34(46)44(24-40-45)29-7-5-27(6-8-29)41-14-16-42(17-15-41)28-9-11-30(12-10-28)47-19-31-20-48-35(49-31,21-43-23-38-22-39-43)32-13-4-26(36)18-33(32)37/h4-13,18,22-25,31H,3,14-17,19-21H2,1-2H3/t25?,31-,35-/m0/s1/i1D3,3D2",709.2706907860002
Clc1ccccc1C2(NC)CCCCC2=O,Ketamine,19.0,114.7,32.2,,2.9,3.68,2.5,,0.47,0.53,0.47,,C[NH2+]C1(c2ccccc2Cl)CCCCC1=O,"InChI=1S/C13H16ClNO/c1-15-13(9-5-4-8-12(13)16)10-6-2-3-7-11(10)14/h2-3,6-7,15H,4-5,8-9H2,1H3/p+1",238.09931826409
Fc1ccc(cc1)C(=O)C2CCN(CC2)CCn(c(=O)[nH]3)c(=O)c(c34)cccc4,Ketanserin,6.7,3.8,24.7,,3.9,0.67,4.7,,0.055,0.01,0.0948,,O=C(c1ccc(F)cc1)C1CC[NH+](CCn2c(=O)[n-]c3ccccc3c2=O)CC1,"InChI=1S/C22H22FN3O3/c23-17-7-5-15(6-8-17)20(27)16-9-11-25(12-10-16)13-14-26-21(28)18-3-1-2-4-19(18)24-22(26)29/h1-8,16H,9-14H2,(H,24,28,29)",395.16451978399994
OC(=O)C(C)c1cc(ccc1)C(=O)c2ccccc2,Ketoprofen,1.6,1.67,,,0.13,1.19,,,0.008,0.05,0.024,0.014,CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,"InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/p-1",253.08701785591
OC(=O)C1CCn(c12)c(cc2)C(=O)c3ccccc3,Ketorolac,0.35,3.6,1.25,,0.11,,0.33,,0.0068,,,,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)[O-],"InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)/p-1",254.08226682391
c1cccc(c12)CC[C@@H](NC(=O)CC(N)(C)C)C(=O)N2Cc3ccc(cc3)-c4c(cccc4)-c5n[nH]nn5,L-692429,3.05,2.7,19.3,5.7,0.2,0.15,0.34,0.16,,0.02,0.86,0.06,CC(C)([NH3+])CC(=O)NC1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[n-]n3)cc2)C1=O,"InChI=1S/C29H31N7O2/c1-29(2,30)17-26(37)31-24-16-15-21-7-3-6-10-25(21)36(28(24)38)18-19-11-13-20(14-12-19)22-8-4-5-9-23(22)27-32-34-35-33-27/h3-14,24H,15-18,30H2,1-2H3,(H2,31,32,33,34,35,37)",509.2539232320001
c1ccccc1C(C[C@H](C)N(C)C)([C@H](CC)OC(=O)C)c2ccccc2,L-Acetylmethadol,5.4,,28.0,,8.3,,5.9,,0.2,,,,CC[C@H](OC(C)=O)C(C[C@H](C)[NH+](C)C)(c1ccccc1)c1ccccc1,"InChI=1S/C23H31NO2/c1-6-22(26-19(3)25)23(17-18(2)24(4)5,20-13-9-7-10-14-20)21-15-11-8-12-16-21/h7-16,18,22H,6,17H2,1-5H3/p+1/t18-,22-/m0/s1",354.24275568408996
OC(=O)COC1CCN(CC1)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c3ccc(cc3)/C(N)=N/[H],Lamifiban,1.9,9.5,7.0,2.6,0.29,0.24,0.75,0.29,0.94,,,,[H]/[NH+]=C(\N)c1ccc(C(=O)NC(Cc2ccc([O-])cc2)C(=O)[NH+]2CCC(OCC(=O)[O-])CC2)cc1,"InChI=1S/C24H28N4O6/c25-22(26)16-3-5-17(6-4-16)23(32)27-20(13-15-1-7-18(29)8-2-15)24(33)28-11-9-19(10-12-28)34-14-21(30)31/h1-8,19-20,29H,9-14H2,(H3,25,26)(H,27,32)(H,30,31)",468.20088461599994
OC[C@H]1SC[C@H](O1)n2ccc(N)nc2=O,Lamivudine,4.8,72.0,22.0,12.6,1.3,,0.87,1.2,0.94,,,,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,"InChI=1S/C8H11N3O3S/c9-5-1-2-11(8(13)10-5)6-4-15-7(3-12)14-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/t6-,7+/m0/s1",229.052112212
N[C@H](C)Cc1ccccc1,l-Amphetamine,,66.0,,,,4.3,,,,,,,C[C@@H]([NH3+])Cc1ccccc1,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/p+1/t8-/m1/s1",136.11207586809
[C@@]123[C@@H]4[C@@H](O)CC[C@@]2(O)[C@H](N(CC3)CC5CCC5)Cc6c1c(O4)c(O)cc6,lbuphine,22.0,110.7,,,4.6,11.0,,,0.5,,,,[O-]c1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)[NH+](CC2CCC2)CC[C@]314,"InChI=1S/C21H27NO4/c23-14-5-4-13-10-16-21(25)7-6-15(24)19-20(21,17(13)18(14)26-19)8-9-22(16)11-12-2-1-3-12/h4-5,12,15-16,19,23-25H,1-3,6-11H2/t15-,16+,19-,20-,21+/m0/s1",357.194008344
N#Cc1ccc(cc1)C(n2ncnc2)c3ccc(C#N)cc3,Letrozole,0.57,0.66,,,1.9,2.02,,,0.41,,,,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,"InChI=1S/C17H11N5/c18-9-13-1-5-15(6-2-13)17(22-12-20-11-21-22)16-7-3-14(10-19)4-8-16/h1-8,11-12,17H",285.101445352
Fc1ccc(cc1)C2(C#N)CCC(CC2)N(C[C@H]3C)CC[C@]3(C(=O)O)c4ccccc4,Levocabastine,0.43,27.0,,,1.17,1.36,,,0.453,0.46,,,C[C@@H]1C[NH+](C2CCC(C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)[O-])c1ccccc1,"InChI=1S/C26H29FN2O2/c1-19-17-29(16-15-26(19,24(30)31)21-5-3-2-4-6-21)23-11-13-25(18-28,14-12-23)20-7-9-22(27)10-8-20/h2-10,19,23H,11-17H2,1H3,(H,30,31)/t19-,23?,25?,26-/m1/s1",420.22130638799996
