smiles_r,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_mrt,human_thalf,MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,molecular_weight_smiles_r
CCOC(=O)C1(c2ccccc2)CC[NH+](C)CC1,2.3,4.9,0.42,6.4,7.9,247.33,3.0,0.0,29.5,4.0,3.0,1.8,248.16450536409
CCOC(=O)C1(c2ccccc2)CC[NH+](CCC(O)c2ccccc2)CC1,5.7,22.0,,4.32,3.22,367.48,4.0,1.0,49.8,8.0,4.1,3.6,368.22202024009
CCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,4.4,11.0,0.0036,6.7,10.0,384.25,5.0,1.0,64.6,6.0,4.2,4.2,384.07638990009
CCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,6.1,25.0,0.02,4.1,8.2,360.36,8.0,1.0,110.4,7.0,3.0,3.0,361.13941281209003
CCOC(=O)C1=C(COCC[NH3+])[NH2+]C(C)=C(C(=O)OC)C1c1ccccc1Cl,17.0,7.0,0.005,40.0,34.0,408.88,7.0,2.0,99.9,10.0,2.0,0.44,410.15975248418
CCOC(=O)C1=C[C@]2(CC)CCC[NH+]3CCc4c(n1c1ccccc41)[C@@H]32,2.08,6.1,0.02,5.68,4.83,350.45,4.0,0.0,34.5,4.0,4.2,4.1,351.20670452409
CCOC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C,1.6,13.0,0.64,2.0,1.5,317.38,5.0,0.0,55.8,6.0,3.3,2.4,318.16998466809
CCOC(=O)N[C@@H]1CC[C@@H]2[C@H](CC3C(=O)O[C@H](C)[C@H]3[C@H]2/C=C/c2ccc(-c3cccc(F)c3)cn2)C1,3.74,0.34,0.01,183.0,149.0,492.58,6.0,1.0,77.5,6.0,5.1,5.1,492.242435756
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,2.5,8.3,0.2,5.0,9.0,303.33,5.0,3.0,76.4,6.0,3.1,3.1,303.138305036
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,1.1,1.6,0.15,11.0,8.5,304.32,6.0,3.0,89.3,6.0,3.1,2.7,304.1335540040001
CCOC(=O)[C@]1(c2ccccc2)CCC=C[C@H]1[NH+](C)C,4.0,16.0,0.21,4.2,5.0,273.37,3.0,0.0,29.5,5.0,4.1,3.4,274.18015542809
CCOC(=O)[C@]1(c2ccccc2)CCC=C[C@H]1[NH2+]C,2.5,9.9,,4.2,4.4,259.34,3.0,1.0,38.3,5.0,3.0,1.9,260.16450536409
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,3.55,37.2,,1.56,6.22,351.46,3.0,0.0,39.2,5.0,5.3,5.3,351.129299912
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,2.7,13.0,0.23,2.9,3.5,244.29,4.0,0.0,44.1,5.0,2.8,2.8,244.121177752
CCOC(=O)c1ncn2c1C[NH+](C)C(=O)c1cc(F)ccc1-2,0.8,16.0,0.58,1.0,0.78,303.29,6.0,0.0,64.4,3.0,1.0,1.0,304.10919598009
CCOC(Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)[O-],0.13,0.039,0.0011,56.0,45.0,408.47,7.0,1.0,99.1,11.0,2.7,-0.53,407.1169976559099
CCOCCO[C@@H]1CC[C@@H](C[C@@H](C)[C@@H]2CC(=O)C(C)=CC(C)[C@@H](O)C(OC)C(=O)C(C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)[NH+]3CCCCC3C(=O)O2)C[C@H]1OC,44.5,12.2,,60.9,93.9,986.28,15.0,2.0,193.7,11.0,6.7,6.7,986.6199329160902
CCOCCn1c(C2CC[NH+](CCc3ccc(C(C)(C)C(=O)[O-])cc3)CC2)nc2ccccc21,0.61,2.87,0.13,3.56,5.16,463.61,6.0,1.0,67.6,10.0,4.2,1.3,463.283492044
CCON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)([O-])[O-])n1,0.53,83.6,0.8,0.11,0.09,684.68,16.0,4.0,223.2,11.0,-4.6,-7.1,683.00300380991
CCOP(=O)(OCC)C(C)NC(=O)[NH+](CCCl)N=O,0.62,18.5,,0.55,0.38,315.69,8.0,1.0,97.3,9.0,1.5,1.5,316.08236147008995
CCOP(=O)(OCC)[C@@H](NC(=O)[C@]1(O)[C@@H](O)[C@@]2(CC)C=CC[NH+]3CC[C@]4(c5cc([C@@]6(C(=O)OC)C[C@H]7C[N@@H+](CCc8c6[nH]c6ccccc86)C[C@@](O)(CC)C7)c(OC)cc5[NH+](C)[C@@H]14)[C@@H]32)C(C)C,4.67,3.5,0.1,22.24,34.3,1044.2,19.0,7.0,261.0,14.0,4.3,3.9,948.52350949027
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-],0.315,4.92,0.015,1.875,1.685,452.59,6.0,2.0,78.9,10.0,5.8,2.4,451.26023117991
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,2.5,3.5,0.12,,9.4,353.42,7.0,2.0,101.2,7.0,3.0,2.9,353.18517497600004
CCOc1cc([C@@H](CS(C)(=O)=O)[NH+]2C(=O)c3cccc(CC(C)=O)c3C2=O)ccc1OC,,2.38,0.32,,6.03,459.51,8.0,0.0,107.1,9.0,1.2,1.2,460.1424495920899
CCOc1ccc(CC2=[NH+]CCc3cc(OCC)c(OCC)cc32)cc1OCC,1.9,3.5,0.12,9.0,9.3,397.51,5.0,1.0,48.9,9.0,4.6,4.6,398.23258492408996
CCOc1ccc(Cc2cc(C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,1.7,3.0,0.09,9.5,12.2,408.87,6.0,4.0,99.4,6.0,2.3,2.3,408.1339662
CCOc1ccc(NC(C)=O)cc1,1.4,21.0,0.47,1.1,0.92,179.22,3.0,1.0,38.3,3.0,1.7,1.7,179.094628656
CCOc1ccc2c(c1)[C@]1(CC[C@H](OCC[NH+]3CCOCC3)CC1)C(=O)N2S(=O)(=O)c1ccc(C(=O)NC(C)(C)C)cc1OC,7.0,12.3,0.1,9.4,10.4,643.79,11.0,1.0,123.7,10.0,3.5,3.2,644.30001285209
CCOc1ccc2ccccc2c1C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])C(C)(C)S[C@H]12,0.22,3.3,0.13,1.1,0.7,414.47,7.0,2.0,95.9,5.0,3.5,0.18,414.1249428039999
CCOc1ccccc1OCC1C[NH2+]CCO1,0.73,2.1,,5.8,4.1,237.29,4.0,1.0,39.7,5.0,1.3,0.23,238.14376992009
CCOc1ccccc1OCC[NH2+][C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0.21,0.62,0.01,5.6,6.8,408.51,7.0,2.0,99.9,11.0,2.5,1.6,409.17916944809
CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1C[NH2+]CCO1,0.65,0.82,0.019,13.0,10.0,313.39,4.0,1.0,39.7,6.0,2.7,1.5,314.17507004808994
CCOc1nc2cccc(C(=O)[O-])c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.13,0.37,0.002,5.9,9.7,440.45,9.0,2.0,118.8,7.0,4.9,-0.31,438.1451355958201
CCOc1ncc(S(=O)(=O)[NH+]2CC[NH+](CC)CC2)cc1-c1nc(=O)c2nn(CCOC)c(CC)c2[n-]1,2.4,14.3,,2.8,4.0,519.62,12.0,1.0,135.5,10.0,0.96,0.26,520.2336646080901
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0.59,0.6,0.8,16.0,13.0,247.27,7.0,0.0,97.8,5.0,-0.48,-0.48,247.062676896
CC[C@@H](C)[NH+](C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,1.7,5.9,,5.4,3.7,352.86,3.0,0.0,33.2,4.0,5.4,5.4,353.14151742409
CC[C@@H](CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1,0.96,7.18,,2.25,1.85,339.43,5.0,3.0,68.4,4.0,1.7,1.6,340.20195349209
CC[C@@H](CO)[NH2+]CC[NH2+][C@@H](CC)CO,1.7,10.0,0.18,2.7,3.1,204.31,4.0,4.0,64.5,9.0,-0.38,-2.5,206.19833091217998
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,3.8,4.3,0.013,14.5,10.6,700.78,12.0,1.0,115.7,12.0,4.6,4.6,700.329708264
CC[C@@H](c1cccc([O-])c1)[C@@H](C)C[NH+](C)C,4.64,21.33,,3.62,2.39,221.34,2.0,1.0,23.5,5.0,3.6,1.8,221.177964356
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2[C@@H]([NH3+])CC3,0.44,0.96,,7.6,6.7,435.45,7.0,2.0,107.4,1.0,2.0,1.7,436.16671085609005
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2C[NH+]1CC[NH+](C)CC1)OCCO3,4.77,25.07,,3.5,3.54,518.56,10.0,1.0,106.4,3.0,1.0,-0.084,520.23108758418
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc([O-])cc1c2[Si](C)(C)C(C)(C)C,0.47,6.0,,1.3,1.4,478.61,7.0,2.0,100.0,2.0,4.9,4.8,477.18512213791
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CC[Si](C)(C)C,3.26,4.2,,13.33,13.2,448.59,6.0,1.0,81.4,4.0,4.5,4.5,448.181833906
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c([O-])ccc3nc2-1,1.8,13.0,0.65,2.3,2.3,421.45,8.0,2.0,103.2,3.0,1.3,-1.5,421.163770836
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,2.2,6.5,0.003,5.6,7.0,363.37,7.0,2.0,105.8,1.0,1.1,1.1,363.12190602400005
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc([O-])ccc3nc2-1,0.22,2.23,,1.63,1.67,364.35,7.0,2.0,101.6,1.0,1.4,1.4,363.09864515991
CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1,1.42,8.42,0.125682021,3.87,3.1,398.36,6.0,1.0,79.7,2.0,-0.7,-0.7,398.107813432
CC[C@@]1(O)C[C@H](O[C@@H]2C[C@H]([NH+]3CCOCC3)[C@H](O)[C@H](C)O2)c2c([O-])c3c(c([O-])c2[C@H]1O)C(=O)c1cccc([O-])c1C3=O,20.9,42.8,0.09,8.0,10.7,585.6,12.0,6.0,186.4,4.0,1.4,1.2,583.20645803582
CC[C@@]1(O)C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,6.8,12.0,0.47,9.4,6.7,342.43,5.0,2.0,65.8,4.0,2.2,1.4,343.20161914409
CC[C@H](C)[C@@H]([C@@H](CC(=O)[NH+]1CCC[C@H]1[C@H](OC)C(C)C(=O)NCCc1ccccc1)OC)[NH+](C)C(=O)C(NC(=O)C(C(C)C)[NH+](C)C)C(C)C,0.42,1.6,,4.6,5.67,701.98,11.0,2.0,120.5,20.0,3.9,3.8,704.53096422027
CC[C@H](C)[C@H]1NC(=O)C(NC(=O)C(CC(C)C)[NH+](C)C(=O)C2CCC[NH+]2C(=O)C(C)=O)[C@@H](C)OC(=O)C(Cc2ccc(OC)cc2)[NH+](C)C(=O)C2CCC[NH+]2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)C[C@@H]1O,6.95,8.05,,14.48,16.65,1110.34,22.0,4.0,284.7,15.0,3.3,3.3,1113.6551208923602
CC[C@H](C)[C@H]1NC(=O)C(NC(=O)C(CC(C)C)[NH+](C)C(=O)C2CCC[NH+]2C(=O)C(C)O)[C@@H](C)OC(=O)C(Cc2ccc(OC)cc2)[NH+](C)C(=O)C2CCC[NH+]2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)C[C@@H]1O,1.42,12.22,,1.94,4.8,1112.35,22.0,5.0,287.9,15.0,3.5,3.5,1115.6707709563602
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,0.3,0.02,,250.0,372.4,414.71,1.0,1.0,20.2,6.0,9.0,9.0,414.38616622
CC[C@H](O)[C@@H](C)[C@H]1O[C@@H]1C[C@@](C)(O)/C=C/C=C(\C)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC(=O)[NH+]2CC[NH+](C3CCCCCC3)CC2)C=C[C@@H]1C,10.1,47.9,,3.5,9.2,718.96,11.0,4.0,152.5,11.0,5.0,4.0,720.49138459618
CC[C@H](OC(C)=O)C(C[C@H](C)[NH+](C)C)(c1ccccc1)c1ccccc1,8.3,5.4,0.2,26.0,18.0,353.5,3.0,0.0,29.5,9.0,4.5,3.2,354.24275568408996
CC[C@H](c1ccccc1)c1c([O-])c2ccccc2oc1=O,0.2,0.02,0.57,182.0,126.0,280.32,3.0,1.0,50.7,3.0,4.0,1.2,279.10266791991
CC[C@H]1C2C[C@H]3[C@@H]4[NH+](C)c5ccccc5C45C[C@@H](C2[C@H]5O)[NH+]3[C@@H]1O,4.0,9.8,0.24,6.8,7.3,326.43,4.0,2.0,46.9,1.0,1.8,1.5,328.21398097618
CC[C@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,2.8,4.2,0.22,11.0,5.7,326.43,4.0,1.0,45.6,4.0,3.2,1.7,327.20670452409
CC[C@H]1OC(=O)C(C)C(=O)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@H]2[NH+](CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,3.0,14.0,0.41,3.6,12.0,812.0,15.0,1.0,171.8,11.0,3.7,2.4,813.4876961841801
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,0.95,5.6,0.1,2.8,2.0,733.93,14.0,5.0,193.9,7.0,1.8,0.47,734.46851765609
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O,33.0,10.0,0.88,57.0,69.0,748.98,14.0,5.0,180.1,7.0,2.2,-0.18,750.52307864818
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,1.5,7.3,0.23,3.4,2.8,747.95,14.0,4.0,182.9,8.0,2.3,1.0,748.48416772009
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@@H]2O)[C@@H](CC=O)CC(C)C(=O)C=C[C@]2(C)O[C@H]2[C@@H]1C,2.83,13.3,,3.54,3.34,581.74,10.0,2.0,135.1,6.0,2.5,1.2,582.3636586640899
CC[C@]1(C)NC(=O)C(Cc2cccs2)NC(=O)C(Cc2ccccc2)NC(=O)CCCSCC(C(=O)[NH+]2C[C@H](O)CC2C(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0.31,0.87,,5.63,4.28,1028.21,24.0,13.0,392.3,18.0,-2.9,-6.0,1029.45134480418
CC[C@]1(O)C[C@@H]2C[NH+](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)[NH+](C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CC[NH+]6CC[C@]43[C@@H]65)C2)C1,28.0,3.1,0.14,150.0,67.0,810.97,13.0,3.0,154.1,10.0,3.9,3.6,813.44220879227
CC[C@]1(O)C[C@@H]2C[NH+](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)[NH+](C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CC[NH+]6CC[C@]43[C@@H]65)C2)C1,2.4,2.0,0.4,20.0,23.0,824.96,14.0,3.0,171.2,10.0,2.9,2.7,827.42147334827
CC[C@]1(O)C[C@H]2C[NH+](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)[NH+](C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CC[NH+]6CC[C@]43[C@@H]65)C2)C1,5.0,2.2,,38.0,35.0,753.93,12.0,5.0,164.8,7.0,2.3,1.5,756.43197845627
CC[N+](C)(C)c1cccc([O-])c1,1.1,9.6,,1.9,1.8,166.24,2.0,1.0,20.2,2.0,-3.1,-3.2,165.1153641
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0.27,1.51,,2.98,2.52,510.82,6.0,0.0,27.7,21.0,-7.7,-7.7,510.46182204027
CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)[C@@H]1C,1.87,12.5,,2.5,2.13,306.46,1.0,0.0,0.0,4.0,2.3,2.3,306.22162631609
CC[NH+](C)C(=O)Oc1cccc([C@H](C)[NH+](C)C)c1,1.3,12.0,0.6,1.9,1.4,250.34,4.0,0.0,32.8,5.0,2.8,1.9,252.18268084817998
CC[NH+](CC)C(=O)/C(C#N)=C/c1cc([O-])c([O-])c([N+](=O)[O-])c1,0.27,12.0,0.02,0.38,2.4,305.29,8.0,2.0,130.4,6.0,1.6,-0.08,304.09389412790995
CC[NH+](CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1,1.73,13.3,,2.17,1.8,338.45,5.0,2.0,51.4,3.0,2.9,2.8,340.22521435618
CC[NH+](CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1C[NH3+],4.51,8.17,0.87,8.17,6.48,246.35,3.0,1.0,46.3,5.0,0.9,-1.8,248.18776622817998
CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0.85,5.1,0.0034,2.7,7.2,357.49,4.0,1.0,49.8,10.0,4.3,3.9,358.23767030409
CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,1.8,16.0,0.33,1.9,1.6,234.34,3.0,1.0,32.3,5.0,2.7,2.0,235.18048977608998
CC[NH+](CC)CCCC(C)[NH2+]c1c2ccc(Cl)cc2nc2ccc(OC)cc12,45.0,5.1,0.13,150.0,120.0,399.96,4.0,1.0,37.4,9.0,6.3,2.8,401.22229316418
CC[NH+](CC)CCCC(C)[NH2+]c1ccnc2cc(Cl)ccc12,140.0,4.1,0.43,740.0,570.0,319.87,3.0,1.0,28.2,8.0,5.3,2.0,321.19607841617994
CC[NH+](CC)CCNC(=O)c1cc(Br)c(N)cc1OC,3.1,13.0,0.6,4.0,2.9,344.25,5.0,2.0,67.6,7.0,2.0,0.44,344.09681549609
CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,3.2,5.7,0.6,9.4,7.2,299.8,5.0,2.0,67.6,7.0,1.9,0.37,300.14733107609
CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC(C)C(C)=O,1.5,9.32,0.46,2.68,2.7,355.86,6.0,2.0,84.7,9.0,1.7,0.15,356.17354582408996
CC[NH+](CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,1.1,4.7,,3.8,3.2,328.43,6.0,1.0,75.7,8.0,0.7,-0.86,329.15295470009
CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,2.2,10.0,0.84,3.7,3.1,235.33,4.0,2.0,58.4,6.0,1.2,-0.39,236.17573874408998
CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1,1.9,4.0,0.9,7.9,6.4,277.36,5.0,2.0,61.4,7.0,1.3,-0.26,278.18630342809
CC[NH+](CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,0.82,3.7,0.96,3.7,3.8,313.42,6.0,2.0,78.5,8.0,1.1,-1.6,314.15328904808996
CC[NH+](CC)CCNc1ccc(CNC=O)c2sc3ccc(OC)cc3c(=O)c12,1.01,3.1,,5.4,6.19,413.53,6.0,2.0,70.7,9.0,3.7,2.4,414.18458917608996
CC[NH+](CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.98,10.8,0.2,1.5,1.35,383.52,4.0,0.0,38.8,11.0,4.9,3.6,384.25332036808993
CC[NH+](CC)CCS(=O)(=O)[C@@H]1CC[NH+]2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C\CNC(=O)/C=C/[C@@H](C)[C@H](C(C)C)OC(=O)C12,0.39,16.0,0.82,0.41,0.74,690.85,13.0,2.0,176.7,7.0,0.6,0.6,692.34440308418
CC[NH+](CC)CC[NH+](Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,11.9,4.11,,48.1,40.9,666.77,6.0,0.0,58.4,13.0,6.5,5.1,668.27971324018
CC[NH+](CC)CC[NH+]1C(=O)c2c(c3c4cccc(Cl)c4n([C@@H]4O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,8.9,3.13,,45.4,48.9,669.55,11.0,4.0,140.5,8.0,3.0,2.5,670.19500769218
CC[NH+](CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1[O-],17.4,217.0,,1.34,2.1,355.86,4.0,2.0,48.4,6.0,5.4,2.0,355.145140004
CC[NH+](CCO)CCCC(C)[NH2+]c1ccnc2cc(Cl)ccc12,700.0,11.0,0.57,1300.0,850.0,335.87,4.0,2.0,48.4,9.0,4.1,1.5,337.19099303618
CC[NH+]1CC(CC[NH+]2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,1.2,5.3,,3.7,4.1,378.51,4.0,0.0,32.8,6.0,3.2,3.1,380.2452811041799
CC[NH+]1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,0.94,1.9,1.0,8.01,6.5,341.43,7.0,2.0,101.7,6.0,0.7,-0.75,342.14820366808993
CC[NH+]1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,0.65,1.7,0.16,6.4,5.5,371.27,5.0,1.0,50.8,6.0,2.5,0.86,371.09648114808994
CC[NH+]1CCC[C@H]1CNC(=O)c1c([O-])c(Cl)cc(Cl)c1OC,1.1,1.2,0.06,15.3,14.0,347.24,5.0,2.0,61.8,5.0,2.9,2.1,346.08509785999996
CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc([O-])cc2)C(=O)C1=O,0.17,1.3,0.07,2.2,1.8,645.67,17.0,4.0,220.3,9.0,-1.2,-4.3,646.1496772760901
CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,0.27,4.0,0.5,1.1,0.96,517.55,12.0,3.0,156.4,6.0,0.84,-2.5,519.1776721081799
CC[NH+]1CC[NH+](C(=O)NC(C(=O)N[C@]2(OC)C(=O)[NH+]3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@@H]32)[C@H](C)O)C(=O)C1=O,0.19,1.1,,2.9,1.9,627.65,18.0,4.0,229.5,10.0,-2.4,-5.4,629.1675184121801
CC[NH+]1C[C@H]2C[NH+](C)C[C@@H](C1)C2OC(=O)c1ccc(Cl)cc1,9.0,17.0,,8.8,8.6,322.83,4.0,0.0,32.8,4.0,3.3,1.8,324.15935856018
CC[NH2+]CC(O)c1cccc([O-])c1,2.1,14.0,0.77,2.5,2.2,181.23,3.0,3.0,52.5,4.0,0.57,-0.9,181.11027872
CC[NH2+][C@@H](C)Cc1cccc(C(F)(F)F)c1,11.0,11.0,0.66,18.0,14.0,231.26,1.0,1.0,12.0,4.0,3.5,1.7,232.13076062409
CC[NH2+][C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2OC(C[NH3+])=CC[C@H]2[NH3+])[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H]([NH2+]C)[C@H]1O,0.073,0.55,1.0,2.2,3.2,475.58,12.0,8.0,199.7,8.0,-3.8,-7.5,480.33698091244986
CCc1[n-]c(=O)[n-]c1C(=O)c1ccncc1,0.65,9.03,,1.2,1.32,217.22,5.0,2.0,78.6,3.0,0.041,0.041,215.07057368782
CCc1c([O-])cc([O-])c(C(=O)c2ccc(OCC[NH+]3CCOCC3)c(OC)c2)c1CC(=O)[NH+](CCOC)CCOC,1.32,6.87,,3.21,5.94,574.66,11.0,2.0,127.2,16.0,1.9,1.6,574.289030924
CCc1c2c(nc3ccc(OC(=O)CCC(=O)Oc4c(C)c(C)c5c(c4C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O5)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,0.15,0.81,,3.34,3.77,905.17,11.0,1.0,143.2,21.0,9.0,9.0,904.5237818840001
CCc1c2c(nc3ccc(OC(=O)[NH+]4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,3.5,7.0,0.51,8.3,9.0,586.68,10.0,1.0,112.5,5.0,4.3,2.4,588.2936878401799
CCc1cc2c(cc1CC)CC([NH2+]C[C@H](O)c1ccc([O-])c3[n-]c(=O)ccc13)C2,19.4,4.48,0.05,72.4,92.5,392.49,5.0,4.0,85.3,6.0,2.6,0.27,391.20271630391
CCc1cc2c(cc1N1CCC([NH+]3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,6.35,7.69,0.003,13.77,11.7,482.62,6.0,1.0,72.4,4.0,5.2,4.9,483.27545278009006
CCc1ccc(Cc2ccc3c(c2)[C@]2(OC3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,0.63,2.07,0.46,5.1,4.7,386.44,6.0,4.0,99.4,4.0,1.6,1.6,386.1729385519999
CCc1cccc2cc(C(O)C[NH2+]C(C)(C)C)oc12,1.7,8.9,0.19,3.2,2.3,261.36,3.0,2.0,45.7,4.0,3.3,1.7,262.18015542809
